Superficie construida,Habitaciones,Baños,Estado,Armarios empotrados,Calefacción,Distrito,Precio,Terraza_Balcon
234.0,5.0,5.0,1.0,1.0,4.0,5.0,780000.0,1.0
239.0,3.0,4.0,1.0,1.0,4.0,11.0,880000.0,2.0
271.0,4.0,4.0,0.0,0.0,0.0,3.0,1250000.0,2.0
212.0,4.0,2.0,1.0,1.0,0.0,5.0,925000.0,1.0
184.0,3.0,2.0,1.0,1.0,0.0,9.0,900000.0,0.0
283.0,4.0,3.0,1.0,0.0,0.0,9.0,850000.0,1.0
128.0,3.0,2.0,1.0,0.0,0.0,13.0,590000.0,0.0
182.0,4.0,2.0,1.0,0.0,0.0,5.0,1120000.0,2.0
191.0,4.0,3.0,0.0,1.0,0.0,9.0,990000.0,1.0
150.0,3.0,2.0,1.0,0.0,0.0,7.0,580000.0,0.0
353.0,5.0,4.0,1.0,1.0,5.0,6.0,1700000.0,3.0
82.0,2.0,2.0,1.0,1.0,3.0,13.0,180000.0,3.0
136.0,4.0,2.0,0.0,1.0,4.0,5.0,429000.0,0.0
88.0,2.0,2.0,1.0,1.0,4.0,4.0,195000.0,2.0
90.0,4.0,2.0,1.0,1.0,4.0,0.0,275000.0,2.0
205.0,4.0,3.0,1.0,1.0,0.0,9.0,1050000.0,3.0
82.0,2.0,2.0,1.0,1.0,3.0,13.0,180000.0,3.0
71.0,3.0,2.0,1.0,1.0,2.0,11.0,175000.0,2.0
136.0,4.0,2.0,0.0,1.0,4.0,5.0,429000.0,0.0
95.0,2.0,2.0,1.0,1.0,2.0,5.0,398000.0,1.0
126.0,3.0,2.0,1.0,1.0,2.0,10.0,350000.0,1.0
96.0,3.0,2.0,1.0,0.0,6.0,9.0,480000.0,3.0
61.0,2.0,2.0,1.0,1.0,7.0,15.0,129000.0,0.0
104.0,3.0,2.0,1.0,1.0,6.0,11.0,285000.0,1.0
109.0,3.0,2.0,1.0,1.0,0.0,11.0,279000.0,3.0
124.0,3.0,2.0,1.0,1.0,6.0,13.0,330000.0,1.0
96.0,2.0,2.0,1.0,1.0,4.0,4.0,399000.0,2.0
